asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV01557	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Hyaloriaceae	Stypella	variabilis
ASV01558	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	simulans
ASV01561	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Oliveoniaceae	Oliveonia	
ASV01562	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	nemorosa
ASV01569	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	
ASV01570	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Cephaliophora	
ASV01571	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	desertorum
ASV01572	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
ASV01573	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	cannonballus
ASV01574	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01575	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
ASV01578	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tanneri
ASV01583	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	
ASV01587	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dematiopleospora	salsolae
ASV01588	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	colostri
ASV01591	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	beta
ASV01592	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Capnocheirides	
ASV01594	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV01595	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
